,alt,az,airmass,moonRA,moonDec,moonSep,fieldID,objType,magnitude,mjdExpStart,risen,scheduled,observable
0,54.95759166429191,125.62880904702905,1.2214079413597594,289.3877771541074,-26.179786003291344,42.81699719497724,57,sdss field,-999.0,59418.115885,True,False,True
1,57.922604610757375,131.64502879942978,1.1801756380029313,289.54369973498956,-26.190811846631288,42.910528380275544,57,sdss field,-999.0,59418.128385,True,False,True
2,60.60153263271858,138.61276438560853,1.147806560524772,289.69549884083875,-26.200159582929803,43.00079689176762,57,sdss field,-999.0,59418.140885,True,False,True
3,62.906623097218535,146.67373879169207,1.123260474489809,289.84345120087795,-26.207706555713713,43.08783835922472,57,sdss field,-999.0,59418.153385,True,False,True
4,64.73306539110315,155.89108147185036,1.1057922170098522,289.9878579606298,-26.213338974133425,43.171712657742326,57,sdss field,-999.0,59418.165885,True,False,True
5,65.96973314305576,166.16190885532438,1.0948939446913837,290.12904291859576,-26.216952801045647,43.2525036164503,57,sdss field,-999.0,59418.178385,True,False,True
6,66.52212432342115,177.1452143507013,1.0902581316086855,290.26735057432165,-26.218454579237015,43.33031856406781,57,sdss field,-999.0,59418.190885,True,False,True
7,66.3417849252808,188.287028087938,1.0917561140821113,290.4031439815023,-26.217762185830694,43.40528770239141,57,sdss field,-999.0,59418.203385,True,False,True
8,65.44500095530023,198.98000841163238,1.099429330378048,290.53680243594766,-26.2148055041675,43.47756331799266,57,sdss field,-999.0,59418.215885,True,False,True
9,63.90624217244353,208.76223029315614,1.1134921281396364,290.66871899811724,-26.209527004923924,43.54731882663795,57,sdss field,-999.0,59418.228385,True,False,True
10,61.83171024581218,217.41411380190812,1.1343464983071714,290.7992978966605,-26.201882226642102,43.614747669326405,57,sdss field,-999.0,59418.240885,True,False,True
11,59.33153956336667,224.92559810356852,1.1626106559604945,290.92895181586744,-26.191840150108884,43.680062056529174,57,sdss field,-999.0,59418.253385,True,False,True
12,56.50285740008424,231.40789084450017,1.199165361671686,291.058099109573,-26.179383459938872,43.74349157862045,57,sdss field,-999.0,59418.265885,True,False,True
13,53.42407107571155,237.01722616175388,1.2452247342898692,291.18716094453686,-26.16450869072627,43.805281680035286,57,sdss field,-999.0,59418.278385,True,False,True
14,50.155668699109945,241.9106380893809,1.3024428221135458,291.3165584313246,-26.14722625392533,43.86569202431818,57,sdss field,-999.0,59418.290885,True,False,True
15,46.74343451463797,246.22701870039128,1.3730747852747405,291.4467097472617,-26.127560346213826,43.924994750231576,57,sdss field,-999.0,59418.303385,True,False,True
16,43.22192524591478,250.0822249820643,1.4602249147721105,291.57802729714376,-26.10554873937828,43.98347264127522,57,sdss field,-999.0,59418.315885,True,False,True
